product_code,product_name,dmo_code,dmo_url,dmo_fiyat_try
B11B204331,EPSON WORKFORCE DS-70000 600x600 dpi ( A3 ) 70 syf/dk USB 2.0 B11B204331 Tarayıcı,4236,null,0
B11B250401,EPSON WorkForce DS-870 600x600 dpi ( A4 ) 65 syf/dk USB 2.0 USB 3.0 B11B250401 Tarayıcı,60050,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_666198,32797.16
B11B251401,EPSON DS-970 600x600 dpi ( A4 ) 85 syf/dk USB 3.0 B11B251401 Tarayıcı,57205,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_610398,41493.81
B11B261401,EPSON DS-530II 600x600 dpi ( A4 ) 70 syf/dk USB 3.0 B11B261401 Tarayıcı,88612,https://www.dmo.gov.tr/Katalog/Urun/Detay/5383089_972377,15358.96
B11B262201,EPSON DS-770II 600x600 dpi ( A4 ) 45 syf/dk USB 3.0 B11B262201 Tarayıcı,86045,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_964164,16361.07
B11B265401,EPSON DS-790WN 600x600 dpi ( A4 ) 45 syf/dk Ethernet USB 3.0 Wi-Fi B11B265401 Tarayıcı,105824,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096871,28477.26
C11CH35401BR,EPSON C11CH35401BR ( RENKLİ ) Mürekkep Püskürtmeli Yazıcı,74015,null,0
C11CH60401BR,EPSON C11CH60401BR ( RENKLİ ) Mürekkep Püskürtmeli Yazıcı,74013,null,0
C11CH87401,EPSON C11CH87401 ( RENKLİ ) Mürekkep Püskürtmeli Yazıcı WF-C20750D4TWF,74011,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_908936,431308.23
C11CH88401,EPSON C11CH88401 ( RENKLİ ) Mürekkep Püskürtmeli Yazıcı,74012,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_908937,434832.36
